customer_id,customer_name,email,city,signup_date
1,Customer_1,customer1@yahoo.com,Mumbai,2024-12-09
2,Customer_2,customer2@gmail.com,Chennai,2024-03-23
3,Customer_3,customer3@gmail.com,Hyderabad,2024-06-12
4,Customer_4,customer4@gmail.com,Delhi,2024-01-09
5,Customer_5,customer5@gmail.com,Delhi,2024-09-10
6,Customer_6,customer6@outlook.com,Hyderabad,2024-12-03
7,Customer_7,customer7@yahoo.com,Mumbai,2024-12-03
8,Customer_8,customer8@outlook.com,Bengaluru,2024-07-09
9,Customer_9,customer9@yahoo.com,Mumbai,2024-04-07
10,Customer_10,customer10@outlook.com,Ahmedabad,2024-11-23
11,Customer_11,customer11@yahoo.com,Hyderabad,2024-02-06
12,Customer_12,customer12@yahoo.com,Bengaluru,2024-01-09
13,Customer_13,customer13@outlook.com,Mumbai,2024-05-08
14,Customer_14,customer14@yahoo.com,Mumbai,2024-03-26
15,Customer_15,customer15@gmail.com,Delhi,2024-06-13
16,Customer_16,customer16@yahoo.com,Hyderabad,2024-03-04
17,Customer_17,customer17@outlook.com,Mumbai,2024-09-18
18,Customer_18,customer18@yahoo.com,Chennai,2024-03-26
19,Customer_19,customer19@yahoo.com,Bengaluru,2024-04-04
20,Customer_20,customer20@gmail.com,Pune,2024-12-01
21,Customer_21,customer21@outlook.com,Ahmedabad,2024-09-17
22,Customer_22,customer22@gmail.com,Ahmedabad,2024-04-01
23,Customer_23,customer23@outlook.com,Chennai,2024-10-06
24,Customer_24,customer24@outlook.com,Kolkata,2024-05-25
25,Customer_25,customer25@outlook.com,Delhi,2024-06-21
26,Customer_26,customer26@outlook.com,Kolkata,2024-03-17
27,Customer_27,customer27@gmail.com,Delhi,2024-04-04
28,Customer_28,customer28@outlook.com,Bengaluru,2024-08-16
29,Customer_29,customer29@yahoo.com,Chennai,2024-04-27
30,Customer_30,customer30@outlook.com,Delhi,2024-09-02
31,Customer_31,customer31@outlook.com,Chennai,2024-01-07
32,Customer_32,customer32@gmail.com,Kolkata,2024-03-15
33,Customer_33,customer33@gmail.com,Hyderabad,2024-03-15
34,Customer_34,customer34@outlook.com,Pune,2024-03-09
35,Customer_35,customer35@yahoo.com,Kolkata,2024-06-28
36,Customer_36,customer36@gmail.com,Ahmedabad,2024-07-28
37,Customer_37,customer37@yahoo.com,Bengaluru,2024-04-06
38,Customer_38,customer38@yahoo.com,Chennai,2024-05-18
39,Customer_39,customer39@gmail.com,Hyderabad,2024-09-22
40,Customer_40,customer40@yahoo.com,Mumbai,2024-03-15
41,Customer_41,customer41@outlook.com,Chennai,2024-06-17
42,Customer_42,customer42@outlook.com,Ahmedabad,2024-10-02
43,Customer_43,customer43@gmail.com,Chennai,2024-02-10
44,Customer_44,customer44@outlook.com,Bengaluru,2024-05-13
45,Customer_45,customer45@gmail.com,Bengaluru,2024-03-22
46,Customer_46,customer46@gmail.com,Chennai,2024-04-12
47,Customer_47,customer47@yahoo.com,Pune,2024-01-05
48,Customer_48,customer48@yahoo.com,Ahmedabad,2024-07-24
49,Customer_49,customer49@yahoo.com,Hyderabad,2024-11-09
50,Customer_50,customer50@gmail.com,Pune,2024-10-17
51,Customer_51,customer51@yahoo.com,Delhi,2024-04-18
52,Customer_52,customer52@outlook.com,Chennai,2024-10-04
53,Customer_53,customer53@outlook.com,Hyderabad,2024-09-12
54,Customer_54,customer54@yahoo.com,Delhi,2024-01-06
55,Customer_55,customer55@gmail.com,Bengaluru,2024-05-11
56,Customer_56,customer56@gmail.com,Bengaluru,2024-03-02
57,Customer_57,customer57@outlook.com,Chennai,2024-08-16
58,Customer_58,customer58@yahoo.com,Bengaluru,2024-12-18
59,Customer_59,customer59@outlook.com,Chennai,2024-04-25
60,Customer_60,customer60@outlook.com,Kolkata,2024-06-22
61,Customer_61,customer61@yahoo.com,Mumbai,2024-07-27
62,Customer_62,customer62@outlook.com,Chennai,2024-07-04
63,Customer_63,customer63@yahoo.com,Delhi,2024-06-12
64,Customer_64,customer64@outlook.com,Hyderabad,2024-08-27
65,Customer_65,customer65@gmail.com,Mumbai,2024-05-01
66,Customer_66,customer66@gmail.com,Mumbai,2024-12-12
67,Customer_67,customer67@gmail.com,Kolkata,2024-10-18
68,Customer_68,customer68@outlook.com,Kolkata,2024-05-28
69,Customer_69,customer69@outlook.com,Mumbai,2024-05-01
70,Customer_70,customer70@gmail.com,Mumbai,2024-04-07
71,Customer_71,customer71@outlook.com,Chennai,2024-09-07
72,Customer_72,customer72@yahoo.com,Hyderabad,2024-06-20
73,Customer_73,customer73@yahoo.com,Hyderabad,2024-10-24
74,Customer_74,customer74@outlook.com,Hyderabad,2024-01-01
75,Customer_75,customer75@outlook.com,Mumbai,2024-04-14
76,Customer_76,customer76@gmail.com,Mumbai,2024-03-02
77,Customer_77,customer77@yahoo.com,Bengaluru,2024-06-28
78,Customer_78,customer78@yahoo.com,Chennai,2024-02-14
79,Customer_79,customer79@outlook.com,Hyderabad,2024-01-03
80,Customer_80,customer80@outlook.com,Hyderabad,2024-08-08
81,Customer_81,customer81@outlook.com,Delhi,2024-02-02
82,Customer_82,customer82@yahoo.com,Kolkata,2024-01-06
83,Customer_83,customer83@outlook.com,Kolkata,2024-09-04
84,Customer_84,customer84@gmail.com,Chennai,2024-01-02
85,Customer_85,customer85@outlook.com,Pune,2024-02-18
86,Customer_86,customer86@gmail.com,Mumbai,2024-09-05
87,Customer_87,customer87@outlook.com,Delhi,2024-12-17
88,Customer_88,customer88@outlook.com,Delhi,2024-12-14
89,Customer_89,customer89@outlook.com,Chennai,2024-11-12
90,Customer_90,customer90@gmail.com,Pune,2024-01-03
91,Customer_91,customer91@yahoo.com,Mumbai,2024-05-03
92,Customer_92,customer92@yahoo.com,Kolkata,2024-12-19
93,Customer_93,customer93@yahoo.com,Mumbai,2024-11-14
94,Customer_94,customer94@gmail.com,Hyderabad,2024-01-14
95,Customer_95,customer95@gmail.com,Bengaluru,2024-11-30
96,Customer_96,customer96@yahoo.com,Delhi,2024-08-25
97,Customer_97,customer97@yahoo.com,Chennai,2024-09-27
98,Customer_98,customer98@outlook.com,Kolkata,2024-05-23
99,Customer_99,customer99@outlook.com,Delhi,2024-09-29
100,Customer_100,customer100@outlook.com,Hyderabad,2024-03-17
101,Customer_101,customer101@gmail.com,Pune,2024-06-24
102,Customer_102,customer102@gmail.com,Chennai,2024-01-12
103,Customer_103,customer103@yahoo.com,Pune,2024-11-02
104,Customer_104,customer104@yahoo.com,Delhi,2024-09-02
105,Customer_105,customer105@outlook.com,Hyderabad,2024-01-05
106,Customer_106,customer106@outlook.com,Bengaluru,2024-09-22
107,Customer_107,customer107@outlook.com,Mumbai,2024-08-17
108,Customer_108,customer108@outlook.com,Chennai,2024-07-23
109,Customer_109,customer109@gmail.com,Mumbai,2024-12-09
110,Customer_110,customer110@gmail.com,Ahmedabad,2024-05-07
111,Customer_111,customer111@gmail.com,Hyderabad,2024-07-11
112,Customer_112,customer112@outlook.com,Bengaluru,2024-09-30
113,Customer_113,customer113@outlook.com,Mumbai,2024-01-21
114,Customer_114,customer114@outlook.com,Pune,2024-01-28
115,Customer_115,customer115@outlook.com,Hyderabad,2024-10-20
116,Customer_116,customer116@outlook.com,Bengaluru,2024-07-01
117,Customer_117,customer117@yahoo.com,Hyderabad,2024-05-03
118,Customer_118,customer118@yahoo.com,Bengaluru,2024-02-22
119,Customer_119,customer119@outlook.com,Ahmedabad,2024-01-18
120,Customer_120,customer120@yahoo.com,Delhi,2024-01-23
121,Customer_121,customer121@yahoo.com,Delhi,2024-09-26
122,Customer_122,customer122@gmail.com,Mumbai,2024-06-20
123,Customer_123,customer123@gmail.com,Mumbai,2024-08-01
124,Customer_124,customer124@yahoo.com,Chennai,2024-10-06
125,Customer_125,customer125@outlook.com,Pune,2024-08-30
126,Customer_126,customer126@outlook.com,Chennai,2024-04-05
127,Customer_127,customer127@outlook.com,Chennai,2024-12-15
128,Customer_128,customer128@outlook.com,Kolkata,2024-04-27
129,Customer_129,customer129@yahoo.com,Kolkata,2024-01-02
130,Customer_130,customer130@yahoo.com,Pune,2024-03-25
131,Customer_131,customer131@outlook.com,Ahmedabad,2024-04-02
132,Customer_132,customer132@outlook.com,Mumbai,2024-07-06
133,Customer_133,customer133@gmail.com,Hyderabad,2024-03-31
134,Customer_134,customer134@yahoo.com,Ahmedabad,2024-05-17
135,Customer_135,customer135@yahoo.com,Bengaluru,2024-12-21
136,Customer_136,customer136@yahoo.com,Mumbai,2024-04-02
137,Customer_137,customer137@outlook.com,Delhi,2024-02-17
138,Customer_138,customer138@outlook.com,Chennai,2024-01-18
139,Customer_139,customer139@gmail.com,Kolkata,2024-05-15
140,Customer_140,customer140@outlook.com,Hyderabad,2024-09-23
141,Customer_141,customer141@yahoo.com,Ahmedabad,2024-09-18
142,Customer_142,customer142@outlook.com,Pune,2024-11-03
143,Customer_143,customer143@outlook.com,Kolkata,2024-11-19
144,Customer_144,customer144@gmail.com,Bengaluru,2024-11-04
145,Customer_145,customer145@gmail.com,Bengaluru,2024-01-25
146,Customer_146,customer146@gmail.com,Chennai,2024-11-17
147,Customer_147,customer147@yahoo.com,Delhi,2024-01-22
148,Customer_148,customer148@outlook.com,Delhi,2024-03-27
149,Customer_149,customer149@yahoo.com,Delhi,2024-07-29
150,Customer_150,customer150@gmail.com,Mumbai,2024-05-05
151,Customer_151,customer151@yahoo.com,Kolkata,2024-10-12
152,Customer_152,customer152@yahoo.com,Kolkata,2024-01-27
153,Customer_153,customer153@gmail.com,Delhi,2024-12-29
154,Customer_154,customer154@gmail.com,Kolkata,2024-08-04
155,Customer_155,customer155@outlook.com,Kolkata,2024-12-08
156,Customer_156,customer156@gmail.com,Mumbai,2024-05-10
157,Customer_157,customer157@yahoo.com,Mumbai,2024-05-14
158,Customer_158,customer158@yahoo.com,Kolkata,2024-03-25
159,Customer_159,customer159@outlook.com,Ahmedabad,2024-12-10
160,Customer_160,customer160@outlook.com,Delhi,2024-03-28
161,Customer_161,customer161@yahoo.com,Mumbai,2024-06-05
162,Customer_162,customer162@gmail.com,Chennai,2024-04-12
163,Customer_163,customer163@yahoo.com,Delhi,2024-05-06
164,Customer_164,customer164@gmail.com,Kolkata,2024-07-19
165,Customer_165,customer165@yahoo.com,Pune,2024-04-21
166,Customer_166,customer166@gmail.com,Kolkata,2024-03-30
167,Customer_167,customer167@gmail.com,Delhi,2024-10-02
168,Customer_168,customer168@gmail.com,Kolkata,2024-11-02
169,Customer_169,customer169@outlook.com,Mumbai,2024-11-21
170,Customer_170,customer170@gmail.com,Chennai,2024-03-18
171,Customer_171,customer171@gmail.com,Hyderabad,2024-07-05
172,Customer_172,customer172@yahoo.com,Pune,2024-03-27
